profile_id,immediate_available_capital_10k_krw,max_self_investment_10k_krw,operating_reserve_10k_krw,funding_self_savings_flag,self_savings_amount_10k_krw,funding_family_flag,family_funding_amount_10k_krw,funding_investor_flag,investor_funding_amount_10k_krw,funding_loan_flag,loan_status,desired_loan_amount_10k_krw,expected_interest_rate_pct,loan_term_months,repayment_method,current_debt_total_10k_krw,current_monthly_debt_payment_10k_krw,minimum_monthly_living_cost_10k_krw,post_startup_household_monthly_after_tax_income_10k_krw,planned_expense_1_purpose,planned_expense_1_amount_10k_krw,planned_expense_1_timing_months,planned_expense_2_purpose,planned_expense_2_amount_10k_krw,planned_expense_2_timing_months,current_franchise_store_count,existing_store_monthly_net_profit_10k_krw,new_store_planned_operation_months,target_monthly_after_tax_income_10k_krw,target_payback_years,actual_startup_timing_months,preferred_industry_count,preferred_industry_1,preferred_industry_2,preferred_industry_3
USR00001,9900,7800,2100,1,9900,1,3400,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,340,470,출산·육아,1200,6,없음,0,0,0,0,24,0,0,24,1,교육 (교과),,
USR00002,25600,20700,4900,1,25600,0,0,0,0,1,검토 중,14900,8.14,120,원리금균등상환,8400,90,240,0,출산·육아,1500,24,없음,0,0,0,0,6,1480,1.5,12,2,교육 (외국어),중식,
USR00003,6900,5100,1800,1,6900,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,430,640,없음,0,0,없음,0,0,0,0,6,1320,2.5,12,1,기타 교육,,
USR00004,4300,3600,700,1,4300,1,800,0,0,1,검토 중,13700,3.79,84,만기일시상환,0,0,390,400,없음,0,0,없음,0,0,0,0,36,1200,0,6,1,기타 서비스,,
USR00005,9400,8200,1200,1,9400,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,7800,90,530,0,의료,5800,12,없음,0,0,0,0,60,1060,3,24,1,기타 외국식,,
USR00006,18900,16800,2100,1,18900,0,0,0,0,1,승인 완료,5000,6.05,36,만기일시상환,0,0,200,220,기타,6200,12,없음,0,0,0,0,6,650,5.5,24,2,기타 외식,패스트푸드,
USR00007,12900,10700,2200,1,12900,0,0,0,0,1,사전 상담 완료,12400,11.53,60,원금균등상환,4800,150,560,0,차량 구입,7700,24,없음,0,0,0,0,36,0,4.5,6,1,기타도소매,,
USR00008,10500,7500,3000,1,10500,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,0,0,380,210,가족 지원,8200,18,없음,0,0,1,480,24,1030,1.5,24,2,기타도소매,교육 (교과),
USR00009,4800,3400,1400,1,4800,0,0,0,0,1,검토 중,6100,8.12,24,만기일시상환,27500,420,210,0,없음,0,0,없음,0,0,0,0,36,360,6,36,1,분식,,
USR00010,8500,6200,2300,1,8500,0,0,0,0,0,대출 계획 없음,0,0,0,해당 없음,4900,80,430,480,결혼,2500,18,없음,0,0,0,0,6,400,0,12,2,서양식,기타 외국식,
USR00011,5200,3800,1400,1,5200,0,0,1,1700,0,대출 계획 없음,0,0,0,해당 없음,0,0,280,0,차량 구입,1000,36,없음,0,0,0,0,120,1190,5,12,2,세탁,기타도소매,
USR00012,19400,15300,4100,1,19400,0,0,0,0,1,사전 상담 완료,12400,3.6,24,만기일시상환,12000,210,400,190,기타,3800,12,가족 지원,3900,30,0,0,6,540,3.5,12,2,스포츠 관련,유아 관련 (교육 외),
USR00013,2800,2400,400,1,2800,0,0,0,0,1,검토 중,13700,7.83,60,만기일시상환,8800,100,280,310,없음,0,0,없음,0,0,0,0,36,1260,5,6,2,아이스크림/빙수 ,편의점,
