brand_name,총계,source_url,average_sales_per_3_3sqm,store_count,average_sales_per_3_3sqm_s,store_count_s,총계_s,cat,industry_middle
짐보리플레이앤뮤직,404000,LLM 추정값,5140.0,9.0,1,1,1,111,유아 관련 (교육 외)
피자스쿨,69240,https://frandoor.co.kr/brands?search=%ED%94%BC%EC%9E%90%EC%8A%A4%EC%BF%A8,19662.0,642.0,2,2,2,222,피자
시작스터디카페,120000,LLM 추정값,1761.0,39.0,1,2,1,121,기타 서비스
꼬치의품격,79160,https://frandoor.co.kr/brands?search=%EA%BC%AC%EC%B9%98%EC%9D%98%ED%92%88%EA%B2%A9,11256.0,6.0,1,1,1,111,기타 외식
코코호도,7800,https://frandoor.co.kr/brands?search=%EC%BD%94%EC%BD%94%ED%98%B8%EB%8F%84,18803.0,38.0,2,2,2,222,제과제빵
하남돼지집,44690,https://frandoor.co.kr/brands?search=%ED%95%98%EB%82%A8%EB%8F%BC%EC%A7%80%EC%A7%91,18962.0,48.0,2,2,2,222,한식
만화카페 벌툰,180000,LLM 추정값,7996.0,33.0,1,2,1,121,기타 서비스
포아이니(PHOINI),75700,https://frandoor.co.kr/brands?search=%ED%8F%AC%EC%95%84%EC%9D%B4%EB%8B%88%28PHOINI%29,6985.0,8.0,1,1,1,111,기타 외식
김밥킹,70200,https://frandoor.co.kr/brands?search=%EA%B9%80%EB%B0%A5%ED%82%B9,18437.0,3.0,2,1,1,211,분식
남다른감자탕,64220,https://frandoor.co.kr/brands?search=%EB%82%A8%EB%8B%A4%EB%A5%B8%EA%B0%90%EC%9E%90%ED%83%95,17736.0,8.0,2,1,2,212,한식
춘향골남원추어탕,20730,https://frandoor.co.kr/brands?search=%EC%B6%98%ED%96%A5%EA%B3%A8%EB%82%A8%EC%9B%90%EC%B6%94%EC%96%B4%ED%83%95,17963.0,16.0,2,2,2,222,한식
홍대개미,64360,https://frandoor.co.kr/brands?search=%ED%99%8D%EB%8C%80%EA%B0%9C%EB%AF%B8,23681.0,4.0,2,1,2,212,기타 외식
외대HS어학원,90000,LLM 추정값,6842.0,3.0,1,1,1,111,교육 (외국어)
용추골순대미궁,95500,https://frandoor.co.kr/brands?search=%EC%9A%A9%EC%B6%94%EA%B3%A8%EC%88%9C%EB%8C%80%EB%AF%B8%EA%B6%81,16273.0,2.0,1,1,1,111,한식
호식이두마리치킨,22700,https://frandoor.co.kr/brands?search=%ED%98%B8%EC%8B%9D%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8,25356436.0,75.0,2,2,2,222,치킨
엔진마을,80000,LLM 추정값,7369.0,1.0,1,1,1,111,기타도소매
토마토도시락,65190,https://frandoor.co.kr/brands?search=%ED%86%A0%EB%A7%88%ED%86%A0%EB%8F%84%EC%8B%9C%EB%9D%BD,12846.0,3.0,1,1,2,112,기타 외식
